season	episode	clip	text	label
S05	E06	16	请人工辅助固定工件，机器人开始操作。	协作分工
S04	E11	508	作业完成后确认恢复原有防护措施。	安全提示
S06	E07	328	启动系统安全模式。	紧急处置
S04	E12	380	遇到突发情况立即发出口令停止。	安全提示
S05	E07	264	启动电弧防护系统。	紧急处置
S04	E07	112	注意保持与导体安全距离。	风险提示
S04	E01	211	人工在新绝缘子上绑好扎线，再传给机器人，机器人使用新绝缘子。	协作分工
S06	E05	536	确认备用防护工具随时可取。	安全提示
S05	E10	406	请人工移除旧设备，机器人进行新设备对接。	协作分工
S04	E06	75	注意高压设备，避免触电危险。	风险提示
S05	E08	217	立即报警并呼叫支援。	紧急处置
S05	E08	502	检查末端执行器是否牢固安装。	安全提示
S05	E06	12	对离身体最近的边相导线安装导线遮蔽罩，并拉到靠近绝缘子的边缘处，用绝缘夹夹紧防止脱落。	操作指引
S05	E14	207	停止全部带电操作。	紧急处置
S06	E02	252	保持操作姿势稳定，避免突然用力。	安全提示
S06	E07	455	检查作业路径是否存在障碍物。	安全提示
S04	E06	365	快速恢复至安全姿态。	紧急处置
S04	E14	273	立刻撤离作业区域。	紧急处置
S05	E20	265	请人工回收多余导线，机器人继续紧固操作。	协作分工
S05	E16	477	机器人退出作业区域，请人工确认安全。	协作分工
S06	E01	87	立即制止人工干预。	紧急处置
S04	E13	406	在高压区域保持单手操作，避免形成回路。	安全提示
S05	E09	522	马上关闭负荷开关。	紧急处置
S05	E08	525	注意观察电弧或异响，立即停止异常操作。	安全提示
S05	E14	161	停止机械臂动作。	紧急处置
S05	E07	297	立即切断电源。	紧急处置
S05	E06	94	人员请清理操作区域，机器人准备执行装置搬运。	协作分工
S05	E14	261	取下欲更换绝缘子的遮蔽置，解开绝缘子绑扎线。	操作指引
S05	E16	212	启动紧急通信通道。	紧急处置
S05	E02	65	取下边相绝缘子遮蔽，拆除绑扎线，拆除绑扎线时应边折边卷。	操作指引
S04	E17	350	注意监护人员信号，避免误操作。	风险提示
S06	E01	21	禁止在未确认断电的情况下操作设备。	风险提示
S04	E06	441	紧急断开电缆连接。	紧急处置
S04	E13	300	机器人伸臂至目标位置，请人工确认定位是否准确。	协作分工
S05	E11	505	机器人自动标记作业点，请人工确认标记准确。	协作分工
S04	E05	491	人工调整照明灯具，智能体完成规定作业。	协作分工
S05	E10	327	将中相导线固定在线杆中相瓷瓶上，导线固定好后，将瓷瓶和中相导线恢复绝缘遮蔽。	操作指引
S05	E12	327	启动绝缘屏障保护。	紧急处置
