season	episode	clip	text	label
S05	E13	25	the time difference with ghana is so tricky.	Complain
S06	E01	32	whoa! the nba just announced they're suspending the season.	Inform
S04	E10	31	we should--we'll just go.	Leave
S04	E04	101	you're like one of those monks in tibet.	Joke
S05	E15	85	oh, sure, no problem.	Agree
S06	E05	422	oh, hey, guys. sorry.	Apologise
S05	E15	453	i think i voted wrong!	Complain
S05	E17	314	why don't you read the note?	Advise
S05	E14	249	hey, man, sorry about earlier.	Apologise
S04	E16	180	but instead, he mocks me behind my back.	Complain
S05	E11	320	it's a freaky time.	Complain
S04	E14	137	hey guys, you won't be hearing from me for the next five hours	Inform
S06	E05	173	how about some new options in our vending machines?	Care
S05	E16	51	i got the super sharer badge.	Flaunt
S04	E01	480	all right, guys, well, this is your last chance	Inform
S06	E08	506	did i miss a meeting? sorry.	Apologise
S04	E02	418	this is getting boring, yo. sleep-sleep!	Complain
S05	E11	185	that's a cash register.	Introduce
S04	E13	111	that i'm the best in the class.	Flaunt
S06	E07	404	i'm not disinfecting everything for my health.	Complain
S04	E01	368	kelly! you're in charge.	Arrange
S04	E17	408	no, no, you can't tell my parents.	Prevent
S06	E04	444	let's all come together for marcus.	Inform
S04	E07	93	this is a stupid initiative anyway.	Complain
S06	E04	545	ugh, this whole day sucks.	Complain
S05	E19	275	i haven't worked in three months. my alimony is late. my ex-wife's lawyers are getting very threatening.	Complain
S04	E08	498	yeah, but we're not gonna wrap it.	Oppose
S05	E10	10	maybe you should just leave without her.	Advise
S05	E10	24	relax. i honestly think this is all gonna work out.	Comfort
S05	E16	455	man, why'd you do that stupid google search?!	Criticize
S04	E10	523	i'm so sorry i'm late.	Apologise
S05	E21	2	carol's doing pretty well.	Praise
S05	E19	341	hey, tommy, some guy with no pants just joined the protest.	Inform
S05	E10	14	walk away so they know you're serious.	Advise
S05	E14	279	oh, shut up, eric.	Prevent
S04	E08	56	just lots and lots of bugs.	Complain
S05	E16	182	sorry.	Apologise
S05	E15	290	i'm sorry you had to see that, glenn.	Apologise
S06	E02	297	yeah--oh, hey, i apologize for jonah's murder joke.	Apologise
S04	E06	39	and i'm wearing pajamas, and i'm just a mess.	Complain
S05	E15	197	why is everybody being so cynical about this?	Complain
S05	E08	60	attention, cloud 9 shoppers	Inform
S05	E08	7	i am in the middle of something, dummy.	Criticize
S05	E14	102	aw, that's beautiful.	Praise
S05	E21	312	yo, don't write that down.	Prevent
S04	E06	304	okay, i'm sorry. proceed.	Apologise
S04	E07	223	thank you.	Thank
S04	E07	201	oh, come on. give me some credit.	Complain
S04	E02	535	oh, finally. come get me down.	Ask for help
S04	E10	145	and you got that from pants?	Joke
S05	E07	134	good.	Praise
S04	E03	13	sorry for accidentally texting you that nude.	Apologise
S05	E09	370	i will leave you to it. good-bye.	Leave
S05	E11	487	jonah, i wasted my afternoon in that meeting just to go along with your new cause	Complain
S05	E13	126	the kid's good.	Praise
S04	E13	481	well, too bad!	Complain
S04	E04	307	you are a real hero, you know that?	Praise
S05	E08	489	glenn, take this down. sandra, keep going.	Arrange
S05	E10	467	i blew it, didn't i?	Complain
S06	E07	412	you're gorgeous like a vodka girl.	Joke
S04	E10	467	there's a blank spot where you can write in your name.	Inform
S04	E04	53	my feet are so swollen i can barely stand.	Complain
S04	E09	277	who would need 12,000 boxes of ice pops?	Complain
S06	E04	14	they love money, and they don't care if we die.	Complain
S05	E12	384	oh, wow, okay. nice to meet you.	Greet
S05	E15	111	yeah, everyone feeling  grr-eat?	Care
S05	E10	401	okay, just relax.	Comfort
S04	E12	51	i asked you for candy cane.	Criticize
S05	E13	53	so you're gonna have to find someone yourself to cover.	Advise
S05	E10	32	sorry i'm late.	Apologise
S05	E14	379	okay, i'm sorry. i just--i panicked.	Apologise
S04	E13	380	i was expecting you to side with me over dina.	Complain
S05	E08	341	can i have my gift card, please?	Ask for help
S06	E06	550	take a breath, man. you're not getting fired.	Comfort
S05	E11	27	heather, you're in housewares.	Arrange
S04	E10	170	anyway, it's called a warehouse	Introduce
S05	E08	525	jonah, why are you filming this?	Criticize
S06	E03	597	did you get hurt before?	Care
S04	E08	463	i might have to go to the men's room first.	Leave
S05	E09	15	hey, if any of you curbside folks want to trade places	Inform
S05	E06	336	this has been great. you have a really fun store.	Praise
S04	E08	506	and they get paid ten times as much as us.	Complain
S06	E06	213	we all wish we could just rip that pain out of your body	Comfort
S06	E04	66	dina, you have justine and me at the same register	Inform
S05	E07	72	you are a great manager	Praise
S05	E09	47	and bring it out to the customer.	Arrange
S04	E01	137	what brings you to the store...again?	Care
S06	E01	461	might i suggest you not look up at the ceiling tonight?	Advise
S04	E08	461	to the back. i have work to do.	Leave
S05	E15	255	but no, i don't like criminals, okay?	Oppose
S04	E01	247	nope, just recap the markers when they're done.	Arrange
S06	E04	547	but i've never seen anyone worse at this job.	Praise
S05	E16	26	great debate, guys. it's very useful.	Praise
S05	E21	90	just ask your friends to chip in	Advise
S05	E10	449	yeah, it's too bad.	Complain
S05	E20	442	hey, sandra.	Greet
S05	E14	493	i'm sorry.	Apologise
S05	E07	119	are you sure you're okay?	Care
S05	E20	445	so nice to meet you. i've heard so much about you.	Greet
S04	E10	266	i just gotta grab a few things.	Leave
S05	E10	491	sure, thanks.	Thank
S05	E11	93	garrett, do you mind if i use your phone?	Ask for help
S05	E18	96	the prizes are in the cereal!	Inform
S04	E02	326	oh, this party's gonna be sick!	Praise
S05	E06	386	amazing. thank you, dina.	Thank
S05	E14	427	all right, i'll be back in a few.	Leave
S05	E06	406	security office, now!	Inform
S05	E13	453	print it out, and then run it back here to me.	Arrange
S05	E12	51	it's the way of the world. the rich get richer.	Complain
S06	E05	128	and i wish there was something i could do to make it up to the black employees.	Inform
S05	E21	268	so, tony, sandra is from hawaii.	Introduce
S05	E08	315	okay, sir, i'm sorry.	Apologise
S06	E04	64	you're taking a trip to bruise town.	Arrange
S06	E03	370	ah, too much clothing for this horndog.	Taunt
S05	E21	506	i wish you could see this. you're really struggling.	Taunt
S04	E01	156	i am doing very well.	Flaunt
S05	E11	188	that's--that's a good thing.	Praise
S05	E06	206	hey!	Greet
S05	E10	221	at least give them anti-fatigue mats.	Advise
S05	E15	25	okay, mateo, on three. ready?	Arrange
S06	E05	486	please report to the break room for pizza because apparently, now everyone gets pizza.	Inform
S05	E21	516	mom, stop.	Prevent
S05	E08	426	sorry! this is where we're storing	Apologise
S05	E19	46	anyway, how's it going? have you raised the wage yet?	Care
S05	E16	249	i can't feel my hands.	Complain
S05	E19	224	oh, my god. don't touch it.	Prevent
S05	E14	331	nothing happened, okay? everything's fine.	Comfort
S04	E17	325	poor garrett, pining after a woman	Taunt
S05	E13	274	well, uh, marcus, that is all very correct.	Agree
S05	E07	267	you just need to find a way to show maya that you mean business.	Advise
S06	E03	139	right, but we could just buy more walkies.	Advise
S04	E04	333	my jewish bird joke is so good	Flaunt
S05	E15	41	yes!	Agree
S05	E11	149	never forget how fun you are, jonah.	Taunt
S05	E15	585	hey, thanks for taking a chance on me.	Thank
S05	E11	182	ah, it's great. t-shirt activism.	Praise
S05	E14	179	no, no, no, no, no.	Prevent
S05	E08	154	could you stop ringing the bell for just a second?	Prevent
S06	E04	542	okay, all right, new rule: no one can be mad about whatever was said in this room, okay?	Inform
S06	E03	5	oh, jonah, i'm sorry.	Apologise
S05	E09	347	we liked his confidence. mm.	Praise
S05	E09	290	hey, sweetie. hey, garrett.	Greet
S06	E03	548	i'm sorry.	Apologise
S04	E07	394	yes, thank you for all the help.	Thank
S05	E20	427	yes, same. me too.	Agree
S05	E13	95	it's a digital picture frame.	Introduce
S04	E08	101	that's awesome.	Praise
S05	E08	312	this guy does not support our troops!	Criticize
S04	E12	61	oh, now you just look like a sad clown.	Joke
S06	E01	366	anti-looting procedures.	Introduce
S05	E12	442	thanks, dad.	Thank
S06	E03	106	oh, jonah, that's wonderful.	Praise
S04	E07	457	he's a good person. that is real.	Praise
S05	E17	505	it was cheyenne. she took the care packages.	Introduce
S04	E16	351	calm down, glenn. calm down.	Comfort
S06	E04	604	how do you feel, justine?	Care
S05	E08	321	how did you become manager?	Taunt
S05	E17	356	'scuse me. 'scuse me. hi. jonah.	Greet
S06	E01	564	it's pretty nice back here.	Praise
S05	E14	292	well, we're already 20 minutes behind.	Complain
S05	E16	291	we have to put out red label warnings.	Inform
S05	E08	149	hi, i'm amy sosa, store manager.	Introduce
S04	E04	200	funny little people.	Joke
S05	E09	378	yeah, i'm sorry, but there's no order here.	Apologise
S04	E12	312	i fell up an escalator when i was taking a selfie.	Complain
S04	E07	512	and your dad abandoned you at a gas station?	Taunt
S05	E13	499	oh, man, that's such a good start.	Praise
S05	E11	178	good job on the display.	Praise
S05	E13	481	no--i mean, yes, but not for the reasons you think.	Oppose
S06	E07	502	you're right.	Agree
S06	E02	405	hi amy, thanks for looking out for me all these years.	Thank
S04	E01	511	i mean, it's got over 50 programmable greetings, plus you can change the background.	Introduce
S04	E07	368	see? this is easy for me.	Flaunt
S05	E20	547	yeah, okay, real quick. i don't want you to panic	Comfort
S05	E14	106	oh! he's great! yeah, he's so nice.	Praise
S06	E04	568	it's gonna be all about the moon before you know it.	Inform
S04	E10	410	sheila told me that you're always making her give you back rubs.	Criticize
S06	E06	26	no, it's that we no longer have to sanitize	Inform
S05	E07	336	i like this one	Praise
S04	E03	401	i'm carol, i'm a jealous psycho stalker who can't take	Taunt
S05	E17	210	hey, folks.	Greet
S05	E06	94	you could eat yourself to death and no one would care.	Joke
S05	E21	10	i have my ways.	Flaunt
S05	E17	141	jeff, this is isabel. she works at zephra.	Introduce
S06	E03	328	you know, it was actually really cute.	Praise
S06	E10	509	okay. they left the break room.	Inform
S04	E16	568	that's how filipinos celebrate easter.	Introduce
S04	E14	164	glenn, can i borrow $2,000 for sales tax?	Ask for help
S04	E17	403	okay, okay, it's--it's--it's gonna be okay.	Comfort
S05	E14	446	damn it, dina. you had one job.	Complain
S06	E02	290	um, i'm gonna- i gotta get back to work.	Leave
S05	E16	494	again, we are so, so sorry.	Apologise
S04	E03	82	should we get a scented candle for our nightstand?	Advise
S05	E14	310	sorry, sorry, i-i'm just going to--	Apologise
S06	E03	502	and every zone captain should have a walkie-talkie.	Advise
S05	E21	217	or we could tape a fifth of fireball	Advise
S04	E06	365	that's an interesting choice.	Praise
S04	E09	528	glenn, thank you.	Thank
S05	E09	297	maybe you could help jerry set this up	Advise
S04	E14	273	excuse me, folks, can everyone gather up?	Inform
S05	E07	545	so how'd it go?	Care
S05	E15	318	it'll be easier on yourself if you confess.	Advise
S06	E08	3	that this is made out of polyvinyl chloride	Introduce
S04	E05	185	i want to feel deeply uncomfortable	Complain
S04	E10	171	but don't let it wear you out.	Inform
S06	E01	509	amy sosa here.	Introduce
S05	E20	12	thank you for the almost compliment.	Thank
S05	E14	307	it's my ankle monitor.	Introduce
S05	E14	467	carol, you can't do that!	Prevent
S06	E02	250	okay, cool, 'cause you seemed uncomfortable	Care
S05	E12	141	oh, all right.	Agree
S06	E02	291	i will see you, uh, in a little bit.	Leave
S05	E10	514	you did it.	Praise
S05	E07	265	oh, it'll be fine.	Comfort
S04	E17	151	we can see that, big guy. just get out of the way.	Prevent
S04	E03	84	this one smells like peanut butter.	Introduce
S04	E11	166	no, no, no, no, no. don't help him.	Prevent
S05	E17	134	hey, hey!	Greet
S05	E11	490	and i'm sorry about that	Apologise
S04	E01	265	i'm gonna go back to work now	Leave
S05	E19	458	hey, carol.	Greet
S04	E01	486	actually, the store closed, like, 15 minutes ago.	Inform
S05	E12	42	there's 1,000 bucks in it. i already opened it.	Introduce
S05	E21	201	oh, we could get, like, a red bull fountain.	Advise
S04	E16	216	they just make fun of me openly to my face.	Complain
S05	E19	354	hey, amy, uh, janet is gonna say that we invaded her privacy.	Inform
S05	E17	52	garrett, you're only giving packages to people with wristbands.	Arrange
S05	E07	39	yeah, sure.	Agree
S04	E04	397	okay then, contest back on.	Inform
S05	E09	52	you'll have 30 minutes to get the order in the car.	Arrange
S05	E17	234	that's helpful, jeff. thank you.	Thank
S05	E16	345	well, we can try. come on, dina.	Leave
S05	E07	361	i'm so sorry you have to witness this, maya.	Apologise
S04	E14	195	laurie neustadt, you are in violation of rule 17-b of cloud 9 hiring policy.	Inform
S05	E16	247	so, you know, we can just sit back and relax.	Advise
S05	E20	130	oh, no. it's not a game--	Oppose
S05	E17	444	why don't we just give them some cash?	Advise
S06	E05	127	anyway, the point is i'm just so sorry.	Apologise
S05	E08	151	kyle sawyer, generosity manager.	Introduce
S05	E18	328	and you've taken him to a doctor, and he's doing fine?	Care
S06	E01	260	oh, great, more reasons for the wet-lips to yell at me.	Taunt
S05	E14	103	okay, i'm going to hit the little cowboys' room.	Leave
S05	E20	110	okay, dina, relax. it's just a surprise date.	Comfort
S05	E13	166	i just found out that, um, i got a work permit.	Inform
S05	E21	348	need some glasses for your ears now too, old man?	Taunt
S05	E19	529	and again, carol, i am so sorry	Apologise
S05	E06	14	aww, man, then i won't get to hear jonah lecture us	Taunt
S05	E07	329	you need to take this seriously.	Advise
S04	E03	239	you shoved me, amy! what is wrong with you?	Criticize
S05	E15	35	come on, peeps. dig in.	Arrange
S06	E01	468	but they have me on these calls all day every day!	Complain
S05	E02	40	amy, my baby's future is on the line.	Ask for help
S05	E12	128	this is a pyramid scheme.	Complain
S04	E06	395	well, here's my resume.	Inform
S05	E07	470	can i have some of the house red?	Ask for help
S05	E10	512	because corporate sucks and everybody always sucks.	Complain
S05	E19	22	you rubbed your wedding in my face for months. and then you asked me to be your maid of honor. i mean, that was just cruel.	Criticize
S06	E04	601	yeah.	Agree
S06	E02	458	aww, that's pretty. thank you.	Thank
S04	E10	225	i'm not gonna let you treat a baby this way.	Prevent
S04	E09	453	so let me know if any of these feel right to you.	Inform
S04	E02	251	that sounds wonderful.	Praise
S05	E10	65	what's up with the tree?	Care
S06	E10	247	he was gonna blab to the lawyers about our work arrangement.	Inform
S04	E01	155	god, get over yourself.	Taunt
S06	E05	536	our corona tests came back negative.	Introduce
S04	E04	247	thank you.	Thank
S05	E06	408	if i run too fast, i become airborne.	Joke
S04	E17	110	hey, guys!	Greet
S06	E09	579	i-i saw that memo, too. good job, glenn.	Praise
S05	E14	184	things have a way of working out for sandra.	Comfort
S06	E07	328	kelly came over from fenton to cover a shift.	Inform
S05	E06	9	first, we're gonna be handing out goodie bags to the kids.	Arrange
S06	E05	568	you seemed pretty beefed.	Care
S05	E07	61	okay, well, maya can't fire you	Comfort
S05	E13	87	okay, i'm gonna pee and come back.	Leave
S05	E13	480	this whole interview process was a fake.	Complain
S06	E01	438	this man is harassing me	Criticize
S04	E12	187	i can make it spin forever.	Flaunt
S04	E13	480	i can't live with that kind of guilt.	Complain
S06	E02	333	i just wanted to say how very proud i, glenn, am of you.	Praise
S05	E14	229	okay, the seating cards are placed.	Arrange
S05	E16	477	dina, i am sorry that i said nobody likes you.	Apologise
S05	E10	161	need any help with whatever this is?	Care
S06	E04	396	this job is hard enough.	Complain
S04	E01	31	thank you for always tipping 20 bucks	Thank
S06	E06	361	fine.	Agree
S05	E11	449	yeah, it feels kinda good.	Praise
S05	E15	132	fine!	Agree
S04	E01	227	oh, yeah, we do. we all hate you.	Criticize
S04	E06	236	why don't you use the lactation room?	Advise
S04	E12	168	let's just help ourselves to whatever we need:	Inform
S05	E17	542	hey, jerry.	Greet
S05	E08	518	what the hell? you're stealing our toys?	Criticize
S06	E04	590	i'm sorry.	Apologise
S05	E13	369	well, i am gonna show her just how many items	Inform
S05	E06	116	oh, you've given this foot chopper a lot of thought.	Taunt
S05	E08	157	huh, right, yeah.	Agree
S05	E16	219	eh, if i did, i'd have to change it on my debit card too.	Leave
S05	E15	120	probably gonna have to take that plant outside for sun	Advise
S05	E12	327	thanks.	Thank
S04	E14	299	i hate them!	Complain
S06	E09	509	all the times that you hurt my feelings.	Criticize
S04	E06	211	the bathroom is disgusting.	Complain
S04	E11	508	what, so they can slap the other cheek?	Taunt
S04	E06	385	i find her extremely annoying	Complain
S05	E16	456	whoa, calm down.	Comfort
S05	E15	113	speaking of cereal, you sound just like tony the tiger.	Joke
S05	E14	188	you look beautiful! yeah!	Praise
S05	E08	250	you need to move on.	Advise
S05	E15	313	this is cheyenne, our head of security.	Introduce
S05	E16	109	well, i'm a  stockroom rockstar.	Flaunt
S06	E10	463	glenn, hey, look, i- i'm sorry.	Apologise
S05	E17	347	your total is $26.17.	Inform
S05	E09	182	don't worry about it.	Comfort
S05	E02	25	engagement party is not a maid of honor duty.	Oppose
S04	E03	256	thank you for bringing that to my attention.	Thank
S06	E02	38	so sandra, you're cleaning carts.	Arrange
S05	E11	180	this one's doing stem cell research.	Introduce
S04	E04	336	ugh, it's so good.	Praise
S04	E13	299	what do i do?	Ask for help
S04	E16	184	i love it.  like totally lies.	Taunt
S06	E07	184	it's gonna be okay, jonah.	Comfort
S05	E17	555	bye, jonah.	Leave
S04	E10	341	'cause i'm starting to feel attacked right now.	Complain
S06	E05	74	yeah, you know, this is actually exactly	Agree
S05	E16	222	hey, man.	Greet
S05	E11	514	i got tired of all the guff.	Complain
S05	E06	74	ah, see? there's always a catch.	Taunt
S05	E13	471	what? i crushed the interview.	Complain
S05	E16	501	jonah was the ringleader.	Criticize
S04	E13	222	marcus's tattoo. it's way harder than i thought.	Complain
S05	E15	73	i need you to act casual.	Arrange
S04	E04	246	hey, glenn, i think you left that in the parking lot.	Inform
S05	E13	248	so--so put it all back, and make it bigger.	Arrange
S05	E07	264	i have zero control over my employees.	Complain
S04	E14	77	it's really nice.	Praise
S06	E08	39	is she still with brian? did something happen?	Care
S05	E09	362	yep, i'm just having eric install some shelves.	Arrange
S04	E11	312	but i logged 8,000 steps.	Flaunt
S05	E07	208	yep, that's right.	Agree
S06	E01	210	so, employees must wipe down the register and credit card machine after each customer	Inform
S05	E14	210	jonah, you set up the chairs. cheyenne, can you make sure that the sound system's working?	Arrange
S05	E10	417	we're gonna take a sidebar.	Leave
S04	E14	544	yup, don't worry about me.	Comfort
S05	E18	149	oh, my god. that would be amazing.	Praise
S05	E17	554	sandra, could you bring home some magazines?	Ask for help
S06	E02	492	ohh, cheyenne, that's really sweet, thank you.	Thank
S04	E06	460	i am wearing frozen diapers	Complain
S04	E13	305	you've never been sarcastic with me before.	Criticize
S04	E02	214	these pictures make me jealous	Praise
S05	E15	410	but don't worry, i have a solution.	Comfort
S04	E02	406	how about we keep this party train rolling	Advise
